ZTFID,OID
ZTF21aarasky,839206100008903
ZTF21aaradzm,862211400016147
ZTF21aaqztcg,585215100030272
ZTF21aaqyuun,524204300037262
ZTF21aaqwfqe,626206300030208
ZTF21aaqwbgq,568201100016791
ZTF21aaqvuyf,815214300016363
ZTF21aaqvsvw,616207200033336
ZTF21aaqupdt,481212200016396
ZTF21aaquhqr,372204200014049
ZTF21aaqsprr,625215400037102
ZTF21aaqqlfw,761201200014998
ZTF21aaqpykm,531214200010734
ZTF21aaqmoof,535215400033064
ZTF21aaqldsk,676216300031021
ZTF21aaqldsj,675210100038576
ZTF21aaqjmps,527210100016831
ZTF21aaqhwgh,520214100010461
ZTF21aaqhqke,578203200001383
ZTF21aaqgrrf,468205200012408
ZTF21aaqftpz,691210400015139
ZTF21aapzzgf,317214200009936
ZTF21aapyiku,665203300019438
ZTF21aapxogj,708201200015192
ZTF21aapvxnf,827216400006347
ZTF21aaptouk,679201300003271
ZTF21aaprgdh,423205300012131
ZTF21aaprfkc,322211100034887
ZTF21aappktx,418201200019437
ZTF21aappehx,313205100022661
ZTF21aapomdb,815214400008374
ZTF21aaplnxw,761202100029023
ZTF21aapkvrd,376205100025495
ZTF21aapkhsc,374209200013520
ZTF21aapjmpq,530209400012166
ZTF21aapjmgf,581204100024847
ZTF21aapffqd,521216200013907
ZTF21aapegtd,750215300031289
ZTF21aapecxb,463215400028358
ZTF21aapdulz,745205100036841
ZTF21aaowaxx,825212300009211
ZTF21aaovhxe,275214300011555
ZTF21aaovdlh,465207400007333
ZTF21aaoqcnh,537206100043795
ZTF21aaopqqk,826205100027843
ZTF21aaoghxv,794215400018004
ZTF21aaogglh,629213400035778
ZTF21aaoexgy,580211300034076
ZTF21aaodljj,859203100008702
