ZTFID,OID
ZTF23abngbvw,405204400033611
ZTF23abnfram,550208300023274
ZTF23abnevza,296212100035057
ZTF23abnbgfb,739207100043749
ZTF23abmtzcg,1387201400035507
ZTF23abmpuhp,413215100038645
ZTF23abmpqvv,569209300019992
ZTF23abmoxlu,841206200029638
ZTF23abluzif,365208200027033
ZTF23ablpfnb,597210300012451
ZTF23ablnqxh,690202100017499
ZTF23ablkbom,556202100006692
ZTF23ablimhl,296205400006426
ZTF23ablavhx,516212400018756
ZTF23abktfjr,597205100030967
ZTF23abkklxm,390203400015629
ZTF23abkixfb,727211400051652
ZTF23abkbieh,500211200024462
ZTF23abjxqwr,304209400004267
ZTF23abjuygh,649201200039812
ZTF23abjunlm,295216300031852
ZTF23abjthou,1832205100047305
ZTF23abjrolk,619202200036216
ZTF23abjrolf,466207400023824
ZTF23abjpcza,700216300028554
ZTF23abjpakq,1400212300020959
ZTF23abjjrwv,785206300001936
ZTF23abjjqxf,567213300033245
ZTF23abjikaf,605212400038732
ZTF23abjieca,616211300015963
ZTF23abjhbcr,250216100003322
ZTF23abjfrbi,1337210300038597
ZTF23abjfpng,694206100034334
ZTF23abjexnw,735214400022547
ZTF23abjdrvd,504208200034096
ZTF23abizggb,864210400019515
ZTF23abiwnpj,695204300005537
ZTF23abivscl,292207300034174
ZTF23abioirc,455204400024585
ZTF23abiljba,447201100037493
ZTF23abijopy,825213400013666
ZTF23abihavc,772206400002626
ZTF23abhzoyw,567212400036380
ZTF23abhzlbh,464204200009945
ZTF23abhzfww,517209100019261
ZTF23abhyxpr,567214300024985
ZTF23abhyssf,354204100017657
ZTF23abhyroo,354208100010705
ZTF23abhxbjo,1385205400035148
ZTF23abhwhho,642212400050253
ZTF23abhvuft,542206300034308
ZTF23abhshea,1596209200020290
ZTF23abhshdk,600211300037207
ZTF23abgzrmz,397207400008402
ZTF23abgtmzs,614212100026631
ZTF23abgspzj,446212400035451
ZTF23abgspys,301203300006814
ZTF23abgspvs,500211200038412
ZTF23abgqzhi,1337209300039970
ZTF23abgpokx,448203200001053
ZTF23abgovnz,796205100000388
ZTF23abgnxri,519215300017171
ZTF23abgnvya,668216100009089
ZTF23abgltid,302208100020272
ZTF23abgkmxh,608212200032163
ZTF23abghttj,292214400023770
ZTF23abghfyg,493206400023236
ZTF23abgfwhj,440206200027373
ZTF23abfubfc,598206400025910
ZTF23abfmlft,353214100038213
ZTF23abfglcy,764204200020733
ZTF23abffvrm,537211200062984
ZTF23abexebx,604216200032805
ZTF23abeuope,727214300056196
ZTF23abeudve,493213200002940
ZTF23abetwwi,494207300038282
ZTF23abecphw,1292207200032658
ZTF23abdsecb,737203200013149
ZTF23abdhvou,1549207100037225
ZTF23abdgswy,351207400010512
ZTF23abcvqkd,651208300010418
ZTF23abcufxh,345216400014950
ZTF23abcsrwv,341211300012952
ZTF23abcqzvm,1678212400005573
ZTF23abclpxs,301204400019729
ZTF23abcegak,634208300009841
ZTF23abccimv,407212200009551
ZTF23abbzhug,603215100034508
ZTF23abbzdoj,694203400029052
ZTF23abbskff,301209200035429
ZTF23abbpswf,728210200081047
ZTF23abbkvxe,354216300035269
ZTF23abbimnx,805206100045136
ZTF23abbhuoa,444205200008475
ZTF23abbdoqg,1772204100035795
ZTF23abbdbsh,449202100039992
ZTF23abbcycg,555210400021494
ZTF23abbccir,1598204300027236
ZTF23abbbygf,398210200011161
ZTF23abbaqbs,684215400004148
ZTF23abbakmt,388202400002703
ZTF23abaxtlq,698209400035963
ZTF23abaxlrz,732209300052240
ZTF23abaxkvy,732202200050806
ZTF23abavqdt,294211200038146
ZTF23abavewn,493204200016523
ZTF23abauhvi,724205200028304
ZTF23abauhqr,724204100014685
ZTF23abascqa,699209200040452
ZTF23abaqzym,390209200034107
ZTF23abapoiv,397212300017603
ZTF23abadhsw,653214300017691
ZTF23aazysgv,401207100000464
ZTF23aazyntd,458202200035341
ZTF23aazuzip,483213300045599
ZTF23aazskaz,603215400014235
ZTF23aazrtdy,549214200021778
ZTF23aazpvbm,491209100045228
ZTF23aazpupj,339216400027175
ZTF23aazprcc,625204300038004
ZTF23aazodoj,354212400023820
ZTF23aaznifc,340205200013601
ZTF23aaznfqc,1734216300044929
ZTF23aazmkjh,849201300002588
ZTF23aazjqov,432214100048498
ZTF23aazfapq,349203300025410
ZTF23aaynwdt,782209200023430
ZTF23aaynmrz,449210300008539
ZTF23aaynddf,551205100029508
ZTF23aaymoki,695207100047843
ZTF23aaxvsjq,828204400039804
ZTF23aaxuvkn,614205300011000
ZTF23aaxtplp,346208100023212
ZTF23aaxtmrr,655212200025949
ZTF23aaxoybh,338208400018637
ZTF23aaxldkr,451202400000476
ZTF23aaxftlt,850207200014721
ZTF23aaxfnwp,682211400030344
ZTF23aaxcdfm,299215100004870
ZTF23aaxauuk,499212400014182
ZTF23aaxahun,346211100005752
ZTF23aawzdxd,289213400007399
ZTF23aawyiyk,288214100034153
ZTF23aawwcuu,688201100007302
ZTF23aawtmcf,1631211400036312
ZTF23aawrcrb,1447204100028463
ZTF23aawqydv,399216200008936
ZTF23aawmbkn,682213200034302
ZTF23aawkjdx,549210400004139
ZTF23aaweqva,444209400005044
ZTF23aavzyit,543211200030085
ZTF23aavzvmp,792202200014729
ZTF23aavxxef,697203200012090
ZTF23aavxvsz,656202100013933
ZTF23aavxtvg,1552209400024195
ZTF23aavxosl,391205200013809
ZTF23aavvdix,856203300029217
ZTF23aavugvk,1646208100047156
ZTF23aavugjj,1771206300050631
ZTF23aavtugd,597207100030022
ZTF23aavmycb,1441206100036750
ZTF23aavmthe,344212100022986
ZTF23aavmguj,733205400026130
ZTF23aavmcbq,798205100022582
ZTF23aavmarm,798210400027406
ZTF23aavecfo,452201200021243
ZTF23aavdzpd,502205300004369
ZTF23aavdhtr,501210300028274
ZTF23aavaaox,632206100017838
ZTF23aauubqu,739201100006808
ZTF23aauqmys,846202300010617
ZTF23aaucaqp,760206300011684
ZTF23aaubzzz,722203100019840
ZTF23aatxeki,549216200011103
ZTF23aatvksz,287210200036119
ZTF23aatdcey,342211100036977
ZTF23aatajah,759207300011788
ZTF23aatabje,763212300008594
ZTF23aastndi,720214400025166
ZTF23aaspcfl,864212300013682
ZTF23aashxqa,693207300014143
ZTF23aasfkpz,547207100039786
ZTF23aascppn,290210100011223
ZTF23aarzbzn,771214100058019
ZTF23aarvrvd,335205400048713
