ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF21acjnzdh,858211200005013,SN2021acoz,06:48:24.45,+77:51:45.7,1527.8,g,18.7063,-19.61,>28.186,15.136,>13.05,SN Ia,0.095,26.31586816,0.183
ZTF21acjnajt,872204400001611,SN2021acpj,08:34:04.33,+80:24:43.0,1530.91,g,18.5499,-19.59,>25.127,15.117,>10.01,SN Ia,0.094,30.91754923,0.055
ZTF21acjmvhx,355201300016045,SN2021acpm,05:12:22.99,-13:12:19.5,1523.79,r,18.1923,-18.46,17.116,8.719,8.397,SN Ic-BL,0.042,-27.8464888,0.417
ZTF21acjgqjl,653214100027792,SN2021aclz,02:45:04.83,+36:42:42.7,1527.79,r,18.2819,-18.54,30.338,15.441,14.897,SN Ia,0.04951,-20.79016939,0.197
ZTF21acjglei,653203200039010,SN2021acma,02:30:33.57,+30:52:17.3,1530.85,r,18.2481,-16.43,>31.939,20.029,>11.91,SN II,0.01817,-27.3601778,0.248
ZTF21acjdwfe,692214200014822,SN2021acof,23:01:52.30,+36:49:38.4,1517.64,r,18.9486,-19.64,>27.223,13.063,>14.16,SN Ia,0.107,-21.05071224,0.272
ZTF21acjbedo,546210200018220,SN2021acpx,22:17:28.48,+13:23:04.8,1524.64,g,18.0633,-19.51,27.559,8.573,18.986,SN Ia,0.067,-34.89845359,0.206
ZTF21acjbcqw,340214300040011,SN2021acls,21:46:32.92,-14:38:58.1,1517.61,r,18.4586,-17.73,>28.87,13.8,>15.07,SN IIP,0.03809,-45.32050365,0.126
ZTF21acizlcg,1294211200031083,SN2021actu,03:36:05.26,-19:13:34.0,1527.84,r,18.4857,-17.12,>15.424,10.404,>5.02,SN IIb,0.029,-51.51848624,0.143
ZTF21acixxub,395215300012199,SN2021acxz,23:47:58.11,-07:25:11.6,1524.8,g,18.5837,-19.46,>26.963,8.123,>18.84,SN Ia,0.089,-65.20217465,0.075
ZTF21aciwkzc,551214400015796,SN2021achd,00:38:48.04,+21:09:34.3,1523.73,r,18.0719,-19.08,18.339,8.448,9.891,SN Ia,0.0601,-41.61534824,0.078
ZTF21aciuvmg,499213100009411,SN2021acgk,00:19:21.53,+15:16:58.7,1523.69,g,18.214,-19.53,25.077,8.059,17.018,SN Ia,0.076,-46.88016608,0.113
ZTF21aciuhyy,601216200035637,SN2021acgl,00:20:26.67,+29:26:57.5,1525.71,g,18.7898,-19.47,28.63,11.013,17.617,SN Ia,0.097,-32.93791519,0.097
ZTF21aciuhqw,602204200026351,SN2021acfe,00:49:30.76,+23:51:42.3,1532.64,r,17.9859,-18.55,35.055,17.959,17.096,SN Ic-BL,0.045,-39.0077573,0.1
ZTF21acisemu,549203100015427,SN2021acck,23:36:13.37,+09:41:17.0,1520.73,r,18.1344,-18.58,31.313,14.297,17.016,SN Ia,0.044,-48.91510605,0.377
ZTF21acirmcv,391206300008363,SN2021acbi,22:02:20.95,-11:28:34.5,1517.65,g,17.9936,-19.71,25.557,5.079,20.478,SN Ia,0.074,-47.40104866,0.131
ZTF21acipmgw,517211300027883,SN2021abzi,08:28:51.75,+12:32:18.1,1520.94,g,18.3448,-19.09,23.361,12.308,11.053,SN Ia,0.06715,27.2114487,0.089
ZTF21acipdhn,860214300012040,SN2021abzk,10:30:12.32,+78:48:23.1,1512.92,g,18.6026,-19.17,18.654,5.746,12.908,SN Ia,0.079,36.03646359,0.069
ZTF21acioxcf,514211100043774,SN2021abyl,07:03:26.16,+12:49:08.9,1522.84,r,18.2993,-17.24,33.36,12.911,20.449,SN II,0.02722,8.42892503,0.219
ZTF21aciouwz,413214300004868,SN2021accl,08:07:07.16,-00:05:42.3,1519.02,r,18.528,-18.45,26.297,12.375,13.922,SN Ia,0.055,16.72774455,0.105
ZTF21acionva,747208300024322,SN2021acmw,07:01:16.92,+45:54:39.7,1527.87,r,18.7511,-18.90,37.461,15.991,21.47,SN Ia,0.071,20.73868772,0.237
