ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF19acshkft,554203100009414,SN2019uze,01:59:07.93,+16:06:04.3,813.67,g,18.4187,-19.57,23.14,11.255,11.885,SN Ia,0.083,-43.75579746,0.154
ZTF19acsfvog,397206200000950,SN2019uxp,00:35:20.03,-02:51:04.7,814.67,r,17.7646,-19.40,25.939,12.25,13.689,SN Ia,0.06,-65.41911146,0.098
ZTF19acrwvao,841208400004204,SN2019uqp,09:14:39.94,+67:44:20.7,805.04,r,18.4705,-17.93,30.953,5.017,25.936,SN II,0.04,38.26149947,0.243
ZTF19acrdqej,698201400010289,SN2019ulw,02:44:50.25,+36:54:21.3,811.72,g,17.5214,-19.09,26.616,9.947,16.669,SN Ia,0.044,-20.63922355,0.177
ZTF19acpmuwu,690214100025752,SN2019uir,22:02:40.08,+36:27:42.6,799.72,r,18.4604,-19.17,31.375,4.705,26.67,SN Ia,0.066,-15.03000248,0.406
ZTF19acordoi,865207300014843,SN2019ugr,18:03:11.54,+74:43:39.4,803.59,g,18.5093,-19.62,>18.938,9.908,>9.03,SN Ia-91T,0.089,29.26633731,0.149
ZTF19acojuzv,783212400036985,SN2019uee,07:24:59.45,+55:23:40.5,806.02,g,17.18,-19.27,23.099,9.214,13.885,SN Ia,0.04,26.68262736,0.213
ZTF19aclobbu,739205200015762,SN2019twk,02:23:05.28,+46:52:56.7,801.76,r,17.3337,-16.66,62.488,12.959,49.529,SN II,0.0121,-13.1476198,0.492
ZTF19ackjnuq,572205400020336,SN2019tjn,10:49:21.95,+17:13:25.8,793.04,g,18.2265,-18.95,>24.744,12.734,>12.01,SN Ia,0.06,60.15038411,0.078
ZTF19ackjlrd,755210100011054,SN2019uaa,12:29:20.23,+49:16:25.8,799.99,r,18.8752,-19.37,>42.707,>13.98,28.727,SN Ia,0.1,67.44799818,0.036
ZTF19acihlft,390205100024107,SN2019tkb,21:43:53.44,-10:11:02.2,797.65,g,15.3726,-19.44,22.293,7.279,15.014,SN Ia,0.02,-42.7883834,0.113
ZTF19acihgng,827206100028189,AT2019tka,19:19:34.47,+61:50:49.0,794.64,g,17.7413,-19.16,23.26,7.984,15.276,SN Ia,0.05,20.52501782,0.181
ZTF19acignlo,649208300017781,SN2019tjt,00:17:03.67,+31:34:21.0,788.66,g,17.9454,-18.87,28.021,5.008,23.013,SN II,0.0476,-30.72991005,0.201
